"","X","code_minor","green_share","count_total","count_green","count_stem","name_minor","task_green_share","task_count_total"
"1",1,"011",0.00297619047619048,98,1,6,"Commissioned Armed Forces Officers",0,0
"2",2,"021",0,54,0,6,"Non-commissioned Armed Forces Officers",0,0
"3",3,"031",0.00454545454545455,133,1,15,"Armed Forces Occupations, Other Ranks",0,0
"4",4,"111",0.00240384615384615,241,1,5,"Legislators and Senior Officials",0.00980392156862745,2
"5",5,"112",0.0517818099213448,169,10,12,"Managing Directors and Chief Executives",0.0235294117647059,2
"6",6,"121",0.0779384689596859,746,80,34,"Business Services and Administration Managers",0.1146110056926,62
"7",7,"122",0.0284808170541883,513,12,78,"Sales, Marketing and Development Managers",0.0882352941176471,41
"8",8,"131",0.159027277977698,168,26,11,"Production Managers in Agriculture, Forestry and Fisheries",0,0
"9",9,"132",0.0319619455769163,935,90,47,"Manufacturing, Mining, Construction and Distribution Managers",0.0191219760631525,38
"10",10,"133",0.0236842105263158,286,9,165,"Information and Communications Technology Service managers",0.0909090909090909,14
"11",11,"134",0.0299881744779602,1006,57,80,"Professional Services Managers",0.0287698412698413,26
"12",12,"141",0.0987076648841355,113,13,7,"Hotel and Restaurant Managers",0,0
"13",13,"142",0.0322865483811445,390,11,28,"Retail and Wholesale Trade Managers",0,0
"14",14,"143",0.0380358313461905,414,10,27,"Other Services Managers",0,0
"15",15,"211",0.103771143349095,449,46,62,"Physical and Earth Science Professionals",0.188864087301587,155
"16",16,"212",0.00529100529100529,170,2,71,"Mathematicians, Actuaries and Statisticians",0,0
"17",17,"213",0.254130715341964,903,186,70,"Life Science Professionals",0.104230712926365,102
"18",18,"214",0.108428996800026,1773,251,206,"Engineering Professionals (excluding Electrotechnology)",0.217631187432052,502
"19",19,"215",0.0502219688142403,620,45,227,"Electrotechnology Engineers",0.105925043045193,66
"20",20,"216",0.0303620438817641,845,33,271,"Architects, Planners, Surveyors and Designers",0.0476553078927918,43
"21",21,"221",0,106,0,38,"Medical Doctors",0,0
"22",22,"222",0,171,0,4,"Nursing and Midwifery Professionals",0,0
"23",23,"223",0,105,0,1,"Traditional and Complementary Medicine Professionals",0,0
"24",24,"225",0.125104666076533,195,20,34,"Veterinarians",0,0
"25",25,"226",0.0277268702057706,816,19,47,"Other Health Professionals",0,0
"26",26,"231",0.00313008863081263,668,10,108,"University and Higher Education Teachers",0,0
"27",27,"232",0.0210144008423591,541,22,37,"Vocational education teachers",0,0
"28",28,"233",0.00631021280916459,215,5,20,"Secondary Education Teachers",0,0
"29",29,"234",0,71,0,1,"Primary School and Early Childhood Teachers",0,0
"30",30,"235",0.000539083557951482,561,1,123,"Other Teaching Professionals",0.00645161290322581,4
"31",31,"241",0.0134169623915301,387,5,10,"Finance Professionals",0.0521978021978022,42
"32",32,"242",0.0293655405976106,726,40,40,"Administration Professionals",0.0738986354775829,55
"33",33,"243",0.0234108330068187,695,26,128,"Sales, Marketing and Public Relations Professionals",0.077046783625731,76
