"","conceptType","conceptUri","iscoGroup","preferredLabel","altLabels","hiddenLabels","status","modifiedDate","regulatedProfessionNote","scopeNote","definition","inScheme","description","code","onet_title","onet_code"
"1","Occupation","http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9","2422","housing policy officer","housing policy officer
housing policy development officer
housing policy analyst
policy officer
housing policy researcher
affordable housing policy officer
policy officer, planning and housing
housing policy and strategy officer
senior housing policy officer
housing policy advisor","","released","2021-03-16T14:58:45.409Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Housing policy officers research, analyse and develop housing policies which enable affordable and adequate housing for all. They implement these policies to improve the housing situation of the population by measures such as building affordable housing, supporting people to buy real estate and improving conditions in existing housing. Housing policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates.","2422.12.8",NA,NA
"2","Occupation","http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219","1431","performance production manager","live event production manager
performance production manager
theatre production manager
theater production manager
film production manager","","released","2022-06-16T10:15:14.891Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Performance production managers take care of a range of practical issues concerning the production of a performance or entertainment event. They deal with matters ranging from the recruitment of staff, procurement of materials and services, to freight, customs coordination, telecommunications, labor relations, logistics, information technology, government liaison, venue booking, scheduling, operations management, mending delay problems and workplace safety.","1431.1.2",NA,NA
"3","Occupation","http://data.europa.eu/esco/occupation/03b55cb5-9735-4582-8e20-2b1cb76635cb","1420","audiology equipment shop manager","audiology shop manager
hearing aid shop manager
audiology retail service manager
audiology centre manager
audiology equipment shop manager
retail audiologist
audiology equipment retail  manager
audiology sales manager
hearing help shop manager","","released","2021-10-06T08:20:06.924Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations"," Audiology equipment shop managers assume responsibility for activities and staff in specialised shops.","1420.4.4",NA,NA
"4","Occupation","http://data.europa.eu/esco/occupation/08edf4c5-3551-4690-9d09-f9b8b9194c90","3435","automated fly bar operator","automation operator & programmer
automated fly bar operator
lead automation operator
automated fly bar technician
automation programmer & operator
theatre automated rigging operator
automation programmer and operator
stage automation operator
automation operator and programmer","","released","2022-06-17T10:17:01.324Z","http://data.europa.eu/esco/regulated-professions/unregulated","Includes rigging operators. 
 Includes people working in event and rental activities.","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Automated fly bar operators control the movements of sets and other elements in a performance based on the artistic or creative concept, in interaction with the performers. Their work is influenced by and influences the results of other operators. Therefore, the operators work closely together with the designers, operators and performers. Automated fly bar operators prepare and supervise the setup, program the equipment and operate automated fly bar systems, rigging systems or systems for horizontal movement. Their work is based on plans, instructions and calculations. The manipulation of heavy loads close to or above performers and audience makes this a high risk occupation. 
 
 ","3435.4",NA,NA
"5","Occupation","http://data.europa.eu/esco/occupation/0b1d8dcb-d941-4d79-99bf-fc10c1806c43","0110","fleet commander","deputy chief of naval staff
navy commander
commander of fleet
fleet commander
naval commander
royal navy commander","","released","2022-01-13T09:57:49.301Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.","0110.9",NA,NA
"6","Occupation","http://data.europa.eu/esco/occupation/12dc4509-7d36-46d8-aca0-c147c7ecd806","7222","gunsmith","gun-smith
rifle engraver
firearm constructor
metal worker
custom rifle designer
custom gun designer
gun maker
shotgun builder
firearm builder
pistol-smith
pistol smith
gun engraver
custom gun builder
gunsmith","","released","2016-07-05T17:01:22Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Gunsmiths modify and repair metal fabricated firearms for special costumer specifications. They use machines and hand tools such as planers, grinders and millers to alter and restore guns, and they may also apply engravings, carvings and other decorative finishing touches to the otherwise finished product.","7222.2",NA,NA
"7","Occupation","http://data.europa.eu/esco/occupation/13427968-250b-4967-a682-afac5cd0af4f","2432","campaign canvasser","campaign canvass worker
campaign canvasser
political campaign canvasser
party campaigner
political canvasser
canvasser
political party activist
party activist
political party volunteer
campaign worker","","released","2021-10-06T09:09:33.204Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Campaign canvassers operate on field level to persuade the public to vote for the political candidate they represent. They engage in direct conversation with the public in public places, and gather information on the public's opinion, as well as perform activities ensuring that information on the campaign reaches a wide audience.","2432.6.1",NA,NA
"8","Occupation","http://data.europa.eu/esco/occupation/15419750-d6e6-4ab8-a77b-b42794f2e168","7536","orthopaedic footwear technician","orthopaedic bootmaker
orthopaedic insole technician
Orthopedic footwear technician
orthotic technician
orthopaedic shoe technician
orthopaedic shoemaker
insole technician
bespoke orthopaedic footwear technician","","released","2020-08-03T13:17:07.62Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Orthopaedic footwear technicians design footwear and make patterns, using manufacturing technology. They compensate and accommodate foot and ankle fitting problems and design and manufacture footwear and its orthopaedic components, including orthoses, insoles, soles and others.","7536.2.7",NA,NA
"9","Occupation","http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73","2619","data protection officer","privacy officer
compliance officer data privacy
data protection and security officer
data protection advisor
data protection counsel
legal and data protection officer
GDPR expert
data protection legal advisor
data protection specialist","","released","2022-06-17T10:17:01.324Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Data protection officers ensure that the processing of personal data in an organisation is compliant with data protection standards and with the obligations set out in the applicable legislation such as GDPR. They elaborate and implement the organisation policy related to data protection, are responsible for data protection impact assessments and handle complaints and requests from third parties and regulatory agencies. Data protection officers lead investigations into potential data breaches, conduct internal audits and act as point of contact within the organisation on any matters related to the processing of personal data. Data protection officers may develop training programmes and provide training to other employees on data protection procedures.","2619.4",NA,NA
"10","Occupation","http://data.europa.eu/esco/occupation/16605833-c196-48d7-a6f5-bbdebdc353df","2434","ICT presales engineer","ICT presale support
IT presales technician
ICT presales engineer
ICT presales engineers
IT presales engineer
ICT presales technician","","released","2016-07-05T17:11:35Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","ICT presales engineers actively drive and manage the ICT evaluation stage of the sales process, working in conjunction with the sales team. They provide technical guidance to pre-sales personnel and plan and modify product ICT configurations to meet client requirements. They pursue additional business development opportunities.
","2434.3",NA,NA
"11","Occupation","http://data.europa.eu/esco/occupation/17abb59e-a1f9-4ce8-88b7-569e5413dca9","8183","cigar brander","cigars brander
brander
cigar brander tender
machine operative cigar production
cigar wrapping machine tender
branding machine operator
branding machine operative
cigar brander
cigar brander operative
cigar wrapper tender
cigar producer
cigar product brander
cigar wrapping machine operative
cigar branding machine operator","","released","2022-07-14T08:26:51.676Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Cigar branders tend machines that stamp brands on cigar wrappers. They keep machines supplied with all the required input material and observe that processes do not jam. They clean ink rollers preventively. 
","8183.2",NA,NA
"12","Occupation","http://data.europa.eu/esco/occupation/18d2b37a-9c31-4393-833e-bc2f7b1ce52a","2413","mergers and acquisitions analyst","acquisition manager
mergers and acquisitions professional
mergers and acquisitions banker
M&A specialist
m&a professional
mergers analyst
mergers and acquisitions associate
M&A analyst
m&a banker
mergers and acquisitions analyst
acquisitions analyst","","released","2016-07-05T15:21:32Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Mergers and acquisitions analysts oversee the execution of transactions for the purchase, sale, merger or takeover of companies. They negotiate and complete the deal on the client's behalf, by working closely with lawyers and accountants. Mergers and acquisitions analysts conduct operational and legal risk assessments of a company, assess comparable companies in the market and help with the post-merger integration.","2413.1.3",NA,NA
