"","preferredLabel","conceptUri","code","onet_title","onet_code","occup_type","task_total"
"1","dismantling engineer","http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4","2149.8","Engineers, All Other","17-2199.00","Non-green",NA
"2","legal guardian","http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860","3412.2","Legal Support Workers, All Other","23-2099.00","Non-green",NA
"3","coffee grinder","http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b","8160.22","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"4","marine engineering technician","http://data.europa.eu/esco/occupation/04849c5c-9236-4a75-aabb-11c6d03e459c","3115.1.7","Engineering Technologists and Technicians, Except Drafters, All Other","17-3029.00","Non-green",NA
"5","maritime instructor","http://data.europa.eu/esco/occupation/0599d0e7-398f-464b-97bb-427686f27d50","2320.1.17","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"6","spinning textile technician","http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea","8151.3","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"7","puppet designer","http://data.europa.eu/esco/occupation/07c2287f-3caa-4128-b7c8-59801084d931","2163.1.7","Designers, All Other","27-1029.00","Non-green",NA
"8","commissioning technician","http://data.europa.eu/esco/occupation/08f5481e-9233-4ef2-9e4b-945224879ce5","3119.4","Engineering Technologists and Technicians, Except Drafters, All Other","17-3029.00","Non-green",NA
"9","youth information worker","http://data.europa.eu/esco/occupation/094e04fd-3039-4615-850b-b232794f84f5","2635.3.27.1","Community and Social Service Specialists, All Other","21-1099.00","Non-green",NA
"10","golf instructor","http://data.europa.eu/esco/occupation/09c2b506-cefa-4ba3-b868-a9c2bc4fc6f1","3422.4.2","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"11","membership administrator","http://data.europa.eu/esco/occupation/0a3c2d5b-e1f9-4200-9288-62bf3fed3310","4110.1.1","Information and Record Clerks, All Other","43-4199.00","Non-green",NA
"12","horse riding instructor","http://data.europa.eu/esco/occupation/0c3672ed-450b-4fcd-a3d0-579a10004486","3423.3","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"13","audio describer","http://data.europa.eu/esco/occupation/0dce2f9b-eda5-4dc4-ba74-36eeed8c9a44","2656.1","Media and Communication Workers, All Other","27-3099.00","Non-green",NA
"14","rolling stock engineering technician","http://data.europa.eu/esco/occupation/0f2c04f1-9001-4a77-884f-1ea16949f6f6","3115.1.18","Engineering Technologists and Technicians, Except Drafters, All Other","17-3029.00","Non-green",NA
"15","sectional belt mould assembler","http://data.europa.eu/esco/occupation/0fc6c577-7d5d-4bcd-8ce8-4a4114d6a809","8141.1.6","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"16","mine manager","http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada","1322.1","Managers, All Other","11-9199.00","Non-green",NA
"17","footwear product developer","http://data.europa.eu/esco/occupation/1209b85e-80f1-490f-a7e1-6ad220bb956d","3119.6","Engineering Technologists and Technicians, Except Drafters, All Other","17-3029.00","Non-green",NA
"18","ambassador","http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353","1112.3.1","Managers, All Other","11-9199.00","Non-green",NA
"19","tanner","http://data.europa.eu/esco/occupation/1ce76c3b-edee-41b4-88c2-5db9b70d8bf0","7535.2","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"20","publishing rights manager","http://data.europa.eu/esco/occupation/1da55a33-09b3-4ac7-818e-2a0fea68cecc","3339.5","Managers, All Other","11-9199.00","Non-green",NA
"21","heating, ventilation, air conditioning engineer","http://data.europa.eu/esco/occupation/1f97f6e6-0ac7-4e77-88ab-2e3801c5a223","2144.1.8","Engineers, All Other","17-2199.00","Non-green",NA
"22","assessor of prior learning ","http://data.europa.eu/esco/occupation/20786e6d-36f0-4d1e-b033-05101fa71f3c","2359.4","Postsecondary Teachers, All Other","25-1199.00","Non-green",NA
"23","metal furniture machine operator","http://data.europa.eu/esco/occupation/2231ed97-69dc-4b6e-93ee-8c0e5bb5dbb8","8219.7","Metal Workers and Plastic Workers, All Other","51-4199.00","Non-green",NA
"24","election observer","http://data.europa.eu/esco/occupation/246dda29-70f6-408b-b205-aa17b2ffb168","2619.5","Office and Administrative Support Workers, All Other","43-9199.00","Non-green",NA
"25","motorcycle instructor","http://data.europa.eu/esco/occupation/259d9967-2189-4b98-be32-9d3169b02e1b","5165.1.3","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"26","textile machine operator","http://data.europa.eu/esco/occupation/2b136e51-154b-4cb2-8130-f73228f14b11","8152.2","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"27","clothing technologist","http://data.europa.eu/esco/occupation/2bf5169b-2c89-451a-9274-e2b4bc1f9487","2141.1","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"28","vessel steering instructor","http://data.europa.eu/esco/occupation/2c027db0-d2a6-43f0-9c4a-caff27c7c54a","5165.2","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"29","leather measuring operator","http://data.europa.eu/esco/occupation/2c94916d-bd7d-4855-ab89-574d2c439a63","8159.4","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"30","contract manager","http://data.europa.eu/esco/occupation/2c9939ef-ebab-4111-8f27-605ae8782791","2619.1","Managers, All Other","11-9199.00","Non-green",NA
"31","wine sommelier","http://data.europa.eu/esco/occupation/2d92f7f5-d2b1-4223-92c4-23c33f8604fc","5131.2.2.3","Food Preparation and Serving Related Workers, All Other","35-9099.00","Non-green",NA
"32","printing textile technician","http://data.europa.eu/esco/occupation/32fcdc6f-1c8a-44e9-99b8-5519e4db4414","7322.7","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"33","cocoa press operator","http://data.europa.eu/esco/occupation/34b63359-faad-4d6a-9d4d-98c2c15b9fac","8160.21","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"34","wood technology engineer","http://data.europa.eu/esco/occupation/35cf772d-bbc9-4eb4-9ca6-5f982649d436","2149.11.2","Engineers, All Other","17-2199.00","Non-green",NA
"35","clothing quality inspector","http://data.europa.eu/esco/occupation/381b9a17-521c-4702-b7d9-2059bbd8ce76","7543.10.2","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"36","car leasing agent","http://data.europa.eu/esco/occupation/38395ab3-766c-4c6c-8d96-430eff19ec8d","5223.1","Sales and Related Workers, All Other","41-9099.00","Non-green",NA
"37","occupational driving instructor","http://data.europa.eu/esco/occupation/39d7dca7-5e0b-4308-889e-9e3d22a3cb56","2320.1.19","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"38","soap maker","http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c","8131.19","Production Workers, All Other","51-9199.00","Non-green",NA
"39","clothing operations manager","http://data.europa.eu/esco/occupation/3afd6af4-0c34-4311-ad73-65adc2571f0c","1321.2.1.2","Managers, All Other","11-9199.00","Non-green",NA
